,order_id,product_category,product_id,order_date,delivery_date,amount,qty,valid_delivered_qty,unit_price
0,0,4,61,2020-01-02,2020-01-14,124972.9902822332,1.0,1.0,124972.9902822332
1,1,4,58,2020-01-04,2020-01-14,1202992.0365379197,4.0,4.0,300748.0091344799
2,2,0,12,2020-02-04,2020-02-19,3010961.318815009,5.0,5.0,602192.2637630019
3,3,4,46,2020-03-17,2020-03-29,5144759.150523503,25.0,12.0,205790.36602094013
4,4,4,50,2020-04-16,2020-04-16,0.6565085744287004,1.0,1.0,0.6565085744287004
5,5,4,50,2020-04-16,2020-04-16,0.6565085744287004,1.0,1.0,0.6565085744287004
6,6,4,50,2020-04-16,2020-04-16,0.6565085744287004,1.0,1.0,0.6565085744287004
13,13,4,45,2020-07-14,2020-07-22,284275.13563516364,5.0,5.0,56855.02712703273
11,11,4,26,2020-07-14,2020-07-18,1777496.9652657062,10.0,10.0,177749.69652657062
9,9,4,46,2020-07-14,2020-07-22,2561947.242865737,22.0,22.0,116452.14740298805
10,10,4,21,2020-07-14,2020-07-18,646660.9458122698,10.0,10.0,64666.09458122698
8,8,4,46,2020-07-14,2020-07-22,1667295.947316633,8.0,8.0,208411.99341457913
7,7,4,45,2020-07-14,2020-07-22,1080245.515413622,19.0,19.0,56855.02712703273
12,12,4,45,2020-07-14,2020-07-22,573299.7889694031,6.0,6.0,95549.96482823386
14,14,4,0,2020-07-20,2020-07-27,884812.483951152,30.0,30.0,29493.7494650384
15,15,4,1,2020-07-21,2020-07-27,1267731.3925522384,15.0,15.0,84515.42617014922
16,16,4,47,2020-07-21,2020-08-05,3443868.465297082,10.0,10.0,344386.8465297082
17,17,4,43,2020-07-21,2020-08-08,1157850.731814389,10.0,10.0,115785.07318143889
20,20,3,73,2020-07-24,2020-07-29,742206.3103979217,480.0,480.0,1546.2631466623368
18,18,4,46,2020-07-24,2020-08-08,369064.386373191,3.0,3.0,123021.462124397
31,31,4,46,2020-07-24,2020-08-05,1230214.62124397,10.0,10.0,123021.462124397
30,30,4,46,2020-07-24,2020-08-08,861150.234870779,7.0,7.0,123021.462124397
19,19,4,1,2020-07-24,2020-08-04,1686186.8805091495,20.0,20.0,84309.34402545748
28,28,4,45,2020-07-31,2020-08-08,120125.76650957012,2.0,2.0,60062.88325478506
25,25,4,61,2020-07-31,2020-08-10,530868.4253616898,10.0,10.0,53086.84253616897
29,29,4,46,2020-07-31,2020-08-08,2460429.24248794,20.0,20.0,123021.462124397
32,32,4,45,2020-07-31,2020-08-08,1081131.898586131,18.0,18.0,60062.883254785054
27,27,4,58,2020-07-31,2020-08-10,990954.3940084876,10.0,10.0,99095.43940084876
21,21,4,21,2020-07-31,2020-08-06,646660.9458122698,10.0,10.0,64666.09458122698
22,22,4,26,2020-07-31,2020-08-06,1777496.9652657062,10.0,10.0,177749.69652657062
26,26,4,1,2020-07-31,2020-08-15,3810446.148824122,20.0,20.0,190522.3074412061
23,23,4,71,2020-07-31,2020-08-10,2919847.121946009,10.0,10.0,291984.7121946009
24,24,4,0,2020-07-31,2020-08-10,637042.1104340277,20.0,20.0,31852.105521701385
41,41,4,46,2020-08-11,2020-08-19,2477440.265412756,20.0,20.0,123872.01327063779
42,42,4,47,2020-08-11,2020-08-20,3467678.833179876,10.0,10.0,346767.8833179876
40,40,4,45,2020-08-11,2020-08-20,1209562.9726927166,20.0,20.0,60478.14863463583
38,38,4,61,2020-08-11,2020-08-19,534392.6454527949,10.0,10.0,53439.26454527948
39,39,4,58,2020-08-11,2020-08-19,997532.9381785505,10.0,10.0,99753.29381785504
36,36,4,42,2020-08-11,2020-08-19,656284.3379393873,7.0,7.0,93754.90541991247
34,34,4,26,2020-08-11,2020-08-18,1421997.572212565,8.0,8.0,177749.69652657062
33,33,4,21,2020-08-11,2020-09-18,517328.7566498159,8.0,7.0,64666.094581226986
37,37,4,71,2020-08-11,2020-08-19,1469615.4011715497,5.0,5.0,293923.08023430995
35,35,4,43,2020-08-11,2020-08-19,816099.1514650548,7.0,7.0,116585.5930664364
43,43,4,0,2020-08-17,2020-08-19,957291.4244732253,30.0,30.0,31909.71414910751
44,44,4,63,2020-08-17,2020-08-19,336824.76046280144,1.0,1.0,336824.76046280144
45,45,4,1,2020-08-17,2020-08-19,3817337.8305149646,20.0,20.0,190866.89152574824
46,46,4,1,2020-08-17,2020-08-19,1329571.4228794794,15.0,15.0,88638.09485863196
47,47,4,42,2020-08-20,2020-09-11,1500078.4867185997,16.0,16.0,93754.90541991248
48,48,4,43,2020-08-20,2020-08-24,2331711.861328728,20.0,20.0,116585.5930664364
49,49,4,26,2020-08-20,2020-09-18,2666245.4478985597,15.0,15.0,177749.69652657065
